word	abs
attendiez	1
attendions	1
attendons	17
attendrai	2
attendre	29
attendrie	1
attendrisseur	1
attends	10
attendu	1
attendue	2
attendus	1
attentat	2
attente	13
attentif	3
attentifs	2
attention	46
attentionnés	1
attentions	1
attentive	1
attentivement	1
attereau	3
atterrir	1
attestant	1
attestation	1
attestations	1
atteste	1
attestent	3
attifé	1
attira	1
attirance	1
attirant	3
attirante	1
attire	17
attirent	2
attirer	11
attirera	1
attireraient	1
attirèrent	1
attiré	6
attirée	3
attirés	7
attitude	4
attractif	2
attractifs	1
attraction	1
attrait	5
attraits	2
attrayant	1
attrayante	1
attrayantes	1
attribue	4
attribuer	3
attribuée	3
attrister	1
attristé	3
atténuant	1
atténue	2
atténuer	3
atténué	1
atténuée	3
au	2309
au-delà	3
au-dessous	3
au-dessus	44
aubaine	1
aube	1
auberge	67
auberges	2
aubergine	5
aubergines	13
aubes	1
aubine	1
auburn	1
aucun	94
aucune	83
aucunement	2
aucuns	1
audace	6
audaces	2
audacieuse	4
audacieuses	1
audacieux	4
audebert	1
auderghem	2
audivision	1
audry	1
auge	5
augmentation	1
augmente	1
augmentent	1
augmenter	3
augmentez	2
augmenté	2
augmentés	2
augure	3
augurer	3
auguste	2
augustin	1
augustins	4
aujourd	114
aumerade	2
aumônière	1
auparavant	12
auprès	5
auquel	34
aura	15
aura-t-il	1
aurai	8
aurai-je	2
auraient	4
auraient-ils	1
aurais	30
aurais-je	1
aurait	49
aurait-il	1
auras	1
aurez	22
auriez	13
auriez-vous	1
aurions	15
aurions-nous	1
aurons	6
auront	6
aurore	2
auréole	1
auréolé	1
ausone	1
auspices	2
aussi	494
aussitôt	76
austère	3
austérité	2
autant	97
auteur	149
auteurs	2
authenticité	11
authentique	20
authentiquement	7
authentiques	11
auto	1
auto-stop	2
autobus	4
autocaristes	1
autocars	2
autochtone	1
autochtones	1
autodidacte	3
automatiquement	2
automobile	4
automobiliste	1
automobilistes	5
autonomie	1
autopsie	1
autorisation	3
autorise	2
autoritaire	12
autoritairement	2
autoritaires	2
autorité	9
autorités	1
autos	4
autostrade	3
autour	30
autre	323
autrefois	2
autrement	14
autres	294
autriche	1
autrichien	2
autrichienne	1
autrichiennes	1
autrs	1
auvenay	1
auvent	1
auvents	1
auvergnate	2
auvergne	5
aux	1028
auxerre	1
auxiliaire	1
auxquelles	6
auxquels	9
av	2
avaient	21
avais	41
avais-je	1
avait	126
avaler	1
avaliser	1
avalé	1
avance	25
avancement	1
avancent	1
avancer	2
avancée	2
avancés	2
avant	148
avant-dernière	1
avant-gardismes	1
avant-guerre	1
avant-hier	3
avant-les-nouveaux	1
avant-plan	2
avantage	9
avantages	2
avantageuse	2
avantageusement	2
avantageuses	1
avantageux	3
avançons	1
avares	1
avaux	1
ave	1
avec	1342
avenant	2
avenantes	1
avenir	11
aventure	8
aventures	1
aventureux	1
avenue	111
avenues	2
averse	1
averti	3
avertir	1
avertis	2
avertissant	1
avertit	1
avesnes	1
avez	115
avez-vous	12
avgolemono	2
avides	1
aviez	8
aviez-vous	1
avignon	1
avion	3
avions	25
avis	44
avisait	1
avisant	1
avise	5
aviser	1
avisez	1
avisons	2
avisé	2
avisés	1
avize	3
avocat	18
avocats	4
avoir	223
avoisinantes	1
avoisinent	1
avoisiner	1
avons	455
avons-nous	1
avouant	2
avoue	3
avoue-t-on	1
avouer	4
avouez	2
avouons-le	2
avril	22
avènement	1
avère	1
axe	5
axes	1
axiales	1
axé	3
ay	1
ayala	1
ayant	37
ayez	7
ayiez	1
ayions	2
ayons	2
aywaille	1
aziz	6
aznavour	1
azulejos	1
azur	1
aère	1
aérage	1
aération	3
aérien	4
aérienne	1
aériennes	2
aérodynamique	1
aéré	5
aérée	6
aérés	1
aîné	5
aînée	1
aînés	1
aïolli	3
b	116
ba1caen	1
baas	1
bab	1
baba	1
babas	1
babi	2
babillage	1
babines	1
baby	1
bac	3
baccarat	1
baccardi	1
bacchus	2
baclava	4
bacon	1
bacs	2
bad-wiessee	1
badigeonnez-le	1
badjak	1
bagarres	1
bagatelle	2
bagdad	3
baguenaude	1
baguette	1
baguettes	1
bah	3
bahmie	1
baie	7
baies	14
baignait	3
baignant	19
baigne	6
baignent	5
baignerait	1
baigné	1
baignés	1
bailli	1
bailly	1
bain	2
bains	1
baisse	2
baissé	2
baked	4
baklava	2
bal	1
baladent	1
baladoz	2
balai	2
balaie	1
balance	9
balancier	1
balancés	1
balançoires	1
balaton	1
balatum-genval	1
balayent	1
balayé	1
balcaen	5
bali	3
balinaise	2
balkanique	1
balkans	4
balle	1
ballekes	2
ballerine	1
ballerines	1
ballet	1
ballon	3
ballonnets	1
ballotine	1
balnéaire	1
bals	1
balustrade	2
bambou	8
bambous	2
banal	31
banale	6
banales	1
banalité	10
banalités	1
banals	1
banane	8
bananes	4
bananienne	1
banc	1
bancale	4
bancales	1
bancs	1
bande	4
bandes	4
bandol	1
bandung	9
bandé	1
bangkok	2
banni	2
bannister	2
bannière	1
banon	1
banque	2
banquet	11
banquets	26
banquette	11
banquettes	62
banquiers	2
baptisa	2
baptise	1
baptiste	5
baptisé	10
baptisée	1
bar	115
bar-comptoir	8
bar-restaurant	2
bar-taverne	1
baratiner	1
barattes	1
barb	1
barbacane	2
barbara	126
barbare	2
barbarie	4
barbaries	1
barbe	5
barbecue	1
barbera	1
barberousse	1
barbets	1
barbier	2
barbizon	19
barbouiller	1
barbu	11
barbue	15
barbus	3
barcarolle	1
barcelone	1
baret	1
bariolée	2
barman	3
barmen	1
baromètre	1
baron	12
barong	8
baronne	2
baroque	4
barque	1
barques	2
barquettes	1
barrail	3
barrail1970	1
barrault	1
barre	5
barrent	1
barriere	1
barrique	1
barriques	1
barrière	2
barrières	1
barré	2
barrée	2
barrées	1
bars	5
barsac	1
bas	44
bas-relief	1
bascule	1
base	38
bashlas	1
basilic	3
basilique	16
basquaise	3
basque	3
basse	27
basses	8
basses-côtes	1
bassin	1
bassine	1
bassinoire	1
bastiani	1
bastion	3
bastions	1
bataille	10
bataillon	4
batard	1
bateau	7
bateaux	5
batifolent	1
batik	1
batiks	1
battant	1
battante	1
battants	2
batterie	2
batteries	1
battista	1
battre	1
battu	4
battus	5
baudet	4
baudhuin	1
baudouin	2
baugé	2
bauwens	1
bavardage	4
bavardant	2
bavarde	3
bavardent	4
bavarder	1
bavarderons	1
bavards	1
bavardé	1
bavarois	1
bave	1
baveuse	2
bavière	1
bavons	1
bayonne	2
bazar	1
bd	21
beans	4
bearn	1
beau	74
beau-frère	5
beau-père	3
beau-site	1
beaucoup	240
beaudart	1
beauduin	1
beaugé	1
beaujolais	142
beaujolais-chiroubles	1
beaujolais-village	1
beaujolais-villages	2
beaujolaise	1
beaumanoir	1
beaune	21
beaune-lez-grèves	1
beauregard	1
beauséjour	1
beauté	6
beaux	26
beaux-arts	5
beaux-fils	1
beaux-frères	1
bec	2
becasse	2
becassine	1
beccale	1
becker	1
becs	1
bedon	4
bedons	1
bedos	1
bee	1
beeckman	1
beef	1
beefeater	1
beefsteak	7
beersel	5
beguinage	1
beige	12
beiges	5
beignet	1
beignets	10
bejet	1
bekaert	2
bel	23
belge	64
belges	53
belgica	1
belgicisé	1
belgique	76
belgique-hollande	1
belgië	1
belgo-italien	1
belgrave	1
belivier	1
belle	83
belle-fille	1
belle-maman	1
belle-mère	3
belle-rive	1
belle-s	10
belle-vue	3
bellegrave	1
belles	19
bellet	1
belleville-sur-saone	1
bellevue	3
belli	1
bellinghen	2
belons	2
bemol	1
ben	2
beneluxiens	1
bengale	7
bengali	1
benjamine	1
bennere	1
benoit	1
bensse	1
beo	2
berbère	1
berce	5
berceau	2
berchem	1
berchoux	1
bercy	1
bercé	1
berg	1
bergamote	1
bergen	1
berger	4
bergerac	2
bergeries	1
berges	1
berghe	2
bergier	1
bergères	1
bernadette	1
bernard	16
bernardine	2
bernique	1
bernois	2
berry	1
berthon	1
bertolli	2
bertoni	2
beschaafd	3
besogne	1
besoin	21
besoins	1
bess	1
bessarabien	1
bessay	1
best	1
bestiaux	2
bestioles	1
bethléem	3
betterave	2
